"INSEE","NOM_COMM","area","RANG","TYPE_LIEU","year_pop","pop","system","residus","neg_pos"
"76255","EU",65.8725,37,"Ville","POP1836",3739,"complet sans Paris",0.0946412362463486,"Moins dense"
"62325","FAUQUEMBERGUES",16.317,137,"Bourg","POP1836",948,"complet sans Paris",-0.141895047344592,"Plus dense"
"60245","FORMERIE",26.8242,104,"Bourg","POP1836",1200,"complet sans Paris",0.0105132863097092,"Moins dense"
"62361","FREVENT",37.7066,71,"Bourg","POP1836",2676,"complet sans Paris",-0.0575687043840176,"Plus dense"
"62364","FRUGES",21.5685,123,"Bourg","POP1836",3134,"complet sans Paris",-0.342710766252292,"Plus dense"
"80373","GAMACHES",33.4945,86,"Bourg","POP1836",1488,"complet sans Paris",0.0490322399369144,"Moins dense"
"78277","GONESSE",49.4649,49,"Bourg","POP1836",2123,"complet sans Paris",0.122650252037849,"Moins dense"
"60286","GRANDVILLIERS",34.398,82,"Bourg","POP1836",1891,"complet sans Paris",-0.00395004157245449,"Plus dense"
"59273","GRAVELINES",55.1453,42,"Ville","POP1836",4542,"complet sans Paris",-0.0349449561665915,"Plus dense"
"62397","GUINES",45.0702,58,"Bourg","POP1836",3775,"complet sans Paris",-0.0727538305560184,"Plus dense"
"02361","GUISE",82.0394,29,"Ville","POP1836",3241,"complet sans Paris",0.228451155651491,"Moins dense"
"80410","HAM",24.9249,114,"Ville","POP1836",2185,"complet sans Paris",-0.182765202058835,"Plus dense"
"59295","HAZEBROUCK",34.6187,81,"Ville","POP1836",7674,"complet sans Paris",-0.378378411205617,"Plus dense"
"62427","HENIN-BEAUMONT",45.2662,57,"Bourg","POP1836",2839,"complet sans Paris",0.00586506613870499,"Moins dense"
"62447","HESDIN",84.3022,28,"Ville","POP1836",3456,"complet sans Paris",0.222970985109997,"Moins dense"
"59309","HONDSCHOOTE",25.6517,112,"Bourg","POP1836",3903,"complet sans Paris",-0.326506732793473,"Plus dense"
